category                                                                                                                                                                                          ,name                                                                                                                                                                                              ,summary                                                                                                                                                                                           ,bug_url                                                                                                                                                                                           ,owner                                                                                                                                                                                             ,impl_status_chrome                                                                                                                                                                                ,shipped_milestone                                                                                                                                                                                 ,footprint                                                                                                                                                                                         ,visibility                                                                                                                                                                                        ,prefixed                                                                                                                                                                                          ,standardization                                                                                                                                                                                   ,spec_link                                                                                                                                                                                         ,safari_views                                                                                                                                                                                      ,safari_views_link                                                                                                                                                                                 ,ff_views                                                                                                                                                                                          ,ff_views_link                                                                                                                                                                                     ,ie_views                                                                                                                                                                                          ,ie_views_link                                                                                                                                                                                     ,web_dev_views    ,comments
14,Canvas,Provides an API to draw 2D graphics ,http://crbug.com/130260,wiltzius@chromium.org,7,1,1,1,FALSE,2,http://whatwg.org/html#2dcontext,1,,1,,1,,1,
14,"Canvas context ""alpha"" attribute",Allow the specification of a 2D canvas with an opaque backing store (alpha: false).,http://crbug.com/234297,senorblanco@chromium.org,3,,3,3,FALSE,5,http://wiki.whatwg.org/wiki/CanvasOpaque,4,,3,,5,,4,
14,Canvas rendering from workers,Render a Canvas object (2D or WebGL) from a web worker.,http://crbug.com/245884,gman@chromium.org,3,,3,2,FALSE,5,http://wiki.whatwg.org/index.php?title=CanvasInWorkers,5,,5,,5,,4,
14,Canvas2D text decoration,"Add a textDecoration attribute to canvas 2D contexts, behavior similar to existing ""font"" attribute: It's a DOMString, parsed the same way as corresponding CSS property (text-decoration).",http://crbug.com/245526,junov@chromium.org,3,,4,2,FALSE,5,,5,,5,,5,,4,
15,Blending of background images,Offers more ways to combine two image layers.,https://bugs.webkit.org/show_bug.cgi?id=108546;https://code.google.com/p/chromium/issues/detail?id=229166,,3,,3,3,FALSE,3,http://dev.w3.org/fxtf/compositing-1/#background-blend-mode,3,,4,,5,,4,
14,Compositing and Blending in Canvas 2D,The canvas 2d context has the globalCompositeOperation attribute that is used to set the current compositing and blending operator.,http://crbug.com/229468,,3,,3,3,FALSE,3,http://dev.w3.org/fxtf/compositing-1/#canvascompositingandblending,3,,1,,5,,4,
15,Conditional Rules,"Support for the @supports at-rule and the ""window.DOM.supports()"" API",http://crbug.com/140487,peter@chromium.org,5,28,4,3,FALSE,2,http://dev.w3.org/csswg/css-conditional/,2,,1,,5,,2,
3,Content Security Policy,"Allows you to create a whitelist of sources of trusted content, and instructs the browser to only execute or render resources from those sourcesA.",http://crbug.com/160081,"mkwst@chromium.org, abarth@chromium.org",6,14,2,2,FALSE,2,https://dvcs.w3.org/hg/content-security-policy/raw-file/tip/csp-specification.dev.html,1,,1,,1,,3,
15,CSS Variables,"Introduces cascading variables as a new primitive value type that is accepted by all CSS properties, and custom properties for defining them.",http://crbug.com/164139,alancutter@chromium.org,4,,2,2,FALSE,3,http://www.w3.org/TR/css-variables/,4,,2,,5,,3,
1,Custom elements,Method for registering (creating) custom elements in script.,http://crbug.com/180965,dominicc@chromium.org,4,27,2,2,FALSE,3,http://www.w3.org/TR/custom-elements/,4,,2,,5,,4,
15,Custom filters (shaders),Apply OpenGL shaders to arbitrary DOM elements.,,,4,24,2,2,FALSE,3,https://dvcs.w3.org/hg/FXTF/raw-file/tip/filters/index.html#custom-filter,3,,3,,4,,2,
2,Dart,"Dart is a new web programming language with libraries, a virtual machine, and tools.  It's designed to help developers build fast, structured modern web apps.  Dart compiles to JavaScript to run across the entire modern web.",,bak@chromium.org,3,,1,1,FALSE,4,http://www.dartlang.org/docs/spec/latest/dart-language-specification.html,7,,7,,6,,3,
10,Default parameter,Allows formal parameters to be initialized with default values if no value or 2 is passed.,,,1,,3,3,TRUE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
8,Device Motion,Provides access to device's physical motion,http://crbug.com/135804,timvolodine@chromium.org,3,,2,1,FALSE,3,http://dev.w3.org/geo/api/spec-source-orientation.html,1,,1,,3,,2,
8,Device Orientation,Provides access to device's physical orientation,http://crbug.com/44654,andreip@chromium.org,7,7,2,1,FALSE,3,http://dev.w3.org/geo/api/spec-source-orientation.html,1,,1,,3,,1,
14,DOM3 Keyboard Events,"KeyboardEvent: keydown, keyup",,garykac@chromium.org,1,,3,3,FALSE,3,http://www.w3.org/TR/DOM-Level-3-Events/,4,,4,,1,,2,
14,DOM3 mouseenter & mouseleave Events,"MouseEvents dispatched when a pointing device is moved onto or off of an Element or one of its descendents. Similar to mouseover and mouseout respectively, but are not cancelable and are not dispatched more than one ""round-trip"" into an Element's boundary.",http://crbug.com/236215,mkwst@chromium.org,2,,3,3,FALSE,3,http://www.w3.org/TR/DOM-Level-3-Events/#events-mouseevents,1,,1,,1,,1,
6,Drag and Drop Directories,Allows dragging and dropping entire folders using HTML5 Drag and Drop. Extends the DataTransferItem with a method to get a FileEntry/DirectoryEntry.,,kinuko@chromium.org,7,21,3,3,FALSE,3,http://wiki.whatwg.org/wiki/DragAndDropEntries,5,,4,,5,,4,
4,Encrypted Media Extensions,"Defines a common API that may be used to discover, select and interact with such systems as well as with simpler content encryption systems.",http://crbug.com/173059,"jluther@chromium.org, ddorwin@chromium.org",7,26,3,1,FALSE,3,https://dvcs.w3.org/hg/html-media/raw-file/tip/encrypted-media/encrypted-media.html,3,,6,,3,,3,
5,EventSource,"Also called Server-sent Events, these are push notifications from the server received as DOM events.",,?@chromium.org,7,6,2,4,FALSE,2,http://whatwg.org/html#server-sent-events,1,,1,,5,,4,
15,Exclusions and Shapes,Define arbitrary areas around which inline content can flow; and non-box shapes to define the inside or outside of flow areas,http://crbug.com/234749,betravis@adobe.com,3,,2,2,FALSE,3,http://dev.w3.org/csswg/css-exclusions/,5,,6,,5,,4,
6,File System,"With the FileSystem API, a web app can create, read, navigate, and write to a sandboxed section of the user's local file system.",,ericu@chromium.org,7,13,1,3,FALSE,3,http://dev.w3.org/2009/dap/file-system/file-dir-sys.html,7,,7,,5,,4,
6,FileReader,"The FileReader object lets web applications asynchronously read the contents of files (or raw data buffers) stored on the user's computer, using File or Blob objects to specify the file or data to read.",,jianli@chromium.org,7,7,3,3,FALSE,3,http://dev.w3.org/2006/webapi/FileAPI/#dfn-filereader,7,,1,,1,,4,
6,FileWriter,Synchronous API added in Chrome 9 for Workers,,ericu@chromium.org,7,9,3,3,FALSE,3,http://dev.w3.org/2009/dap/file-system/file-writer.html,6,,6,,6,,4,
15,Filters,Apply (SVG-like) filter effects to arbitrary DOM elements.,,,7,19,2,2,FALSE,3,https://dvcs.w3.org/hg/FXTF/raw-file/tip/filters/index.html,1,,6,,5,,1,
15,Flexbox,"A CSS box model optimized for user interface design. In the flex layout model, the children of a flex container can be laid out in any direction, and can ""flex"" their sizes, either growing to fill unused space or shrinking to avoid overflowing the parent. Both horizontal and vertical alignment of the children can be easily manipulated. Nesting of these boxes (horizontal inside vertical, or vertical inside horizontal) can be used to build layouts in two dimensions.",http://wkbug.com/62048,ojan@chromium.org,7,21,2,3,FALSE,2,http://www.w3.org/TR/css3-flexbox/,2,,2,,1,,2,
15,Font Load Events,A feature that enables applications to know if a web font is really loaded.,http://crbug.com/196457,,4,27,2,2,FALSE,4,http://dev.w3.org/csswg/css-font-load-events-3/#fontloader-interface,5,,3,,5,,2,
10,for-of loops,"Iterates over iterable objects (including arrays, array-like objects, iterators and generators), invoking a custom iteration hook with statements to be executed for the value of each distinct property.",,,1,,3,3,TRUE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
15,Full multicol support,Bring Blink's multicol support to a level that matches other engines' (Presto and Trident),,mstensho@opera.com,1,,3,2,FALSE,2,http://dev.w3.org/csswg/css-multicol/,2,,2,,1,,4,
2,Fullscreen API,Programmatically instruct content on the page to be presented in the browser's full screen (kiosk) mode.,,jeremya@chromium.org,4,15,3,1,FALSE,3,https://dvcs.w3.org/hg/fullscreen/raw-file/tip/Overview.html,1,,1,,5,,2,
10,DOM Promises (Futures),Support for Promises in JavaScript,http://crbug.com/243345,yhirano@chromium.org,4,,2,2,FALSE,4,http://dom.spec.whatwg.org/#promises-api,5,,2,,3,,3,
8,GamePad API,Gives JS access to a game controller via USB.,http://crbug.com/72754,scottmg@chromium.org,7,18,2,3,FALSE,3,https://dvcs.w3.org/hg/gamepad/raw-file/default/gamepad.html,6,,3,,5,,4,
15,Generated Content for Paged Media Module,CSS properties helpful for printed publication. We only implement paged-x / paged-y from the whole spec.,http://wkbug.com/94401,,3,,3,3,FALSE,3,http://dev.w3.org/csswg/css3-gcpm/,2,,5,,5,,4,
8,Geolocation,Provides access to device's physical location,http://wkbug.com/21475,andreip@chromium.org,7,5,2,1,FALSE,2,http://www.w3.org/TR/geolocation-API/,1,,1,,1,,1,
4,getUserMedia,Local component of WebRTC,,tommyw@chromium.org,7,21,2,2,FALSE,3,http://dev.w3.org/2011/webrtc/editor/getusermedia.html,6,,1,,5,,1,
15,Gradients,"Gradients provide a method to, over a customizable amount of space, transition from one color to another.",,,7,25,2,2,FALSE,2,http://dev.w3.org/csswg/css3-images/,1,,1,,1,,2,
15,Grid,"A two-dimensional grid-based layout system, optimized for user interface design.",http://crbug.com/79180,jchaffraix@chromium.org,3,,2,3,FALSE,3,http://dev.w3.org/csswg/css3-grid-layout/,2,,4,,1,,4,
15,HTTP Client Hints,"Header for proactive content negotiation; just as the Accept header allowed clients to indicate what formats they prefer, Client Hints allow clients to indicate a list of device and agent specific preferences.",http://crbug.com/170388,igrigorik@chromium.org,1,,3,4,FALSE,4,https://github.com/igrigorik/http-client-hints/blob/master/draft-grigorik-http-client-hints-00.txt,5,,4,,5,,4,
15,HTTP Strict Transport Security (HSTS),"Header to inform the browser to always request a given domain over SSL, reducing MITM attack surface area.",,mkwst@chromium.org,7,4,3,2,FALSE,2,http://tools.ietf.org/html/rfc6797,5,,1,,5,,2,
15,HTTP/2 (SPDY),"A fast, open protocol for transporting web content.",,"willchan@chromium.org,fenix@chromium.org",7,7,1,1,FALSE,3,http://htmlpreview.github.com/?https://github.com/http2/http2-spec/blob/master/draft-ietf-httpbis-http2.html,5,,1,,4,,2,
2,iframe[sandbox] attribute,"Method of running external site pages with reduced privileges (i.e. no JavaScript) in iframes (<iframe sandbox=""allow-same-origin allow-forms"" src=""...""></iframe>)",,abarth@chromium.org,7,19,3,4,FALSE,2,http://whatwg.org/html#attr-iframe-sandbox,1,,1,,1,,1,
2,iframe[seamless] attribute,The seamless attribute is used to embed and <iframe> in the calling page without scrollbars or borders (e.g. seamlessly),,mkwst@chromium.org,4,26,4,3,FALSE,2,http://whatwg.org/html#attr-iframe-seamless,3,,3,,5,,3,
2,iframe[srcdoc] attribute,"Gives the content of an iframe as a src context to embed (e.g. <iframe seamless srcdoc=""<b>Hello World</b>""></iframe>).",,abarth@chromium.org,7,20,4,4,FALSE,2,http://whatwg.org/html#attr-iframe-srcdoc,1,,1,,5,,4,
2,IME API,Provides web applications with scripted access to an IME (input-method editor) associated with a hosting user agent.,http://crbug.com/226938,kochi@chromium.org,3,29,3,3,FALSE,3,https://dvcs.w3.org/hg/ime-api/raw-file/default/Overview.html,4,,4,,3,,4,
2,IndexedDB,An asynchronous client-side storage API offering fast access to large amounts of structured data,http://crbug.com/158629,jsbell@chromium.org,7,11,1,2,FALSE,2,https://dvcs.w3.org/hg/IndexedDB/raw-file/tip/Overview.html,6,,1,,1,,2,
2,inputmode,The inputmode content attribute is an enumerated attribute that specifies what kind of input mechanism would be most helpful for users entering content into the form control.,http://crbug.com/248482,yoichio (PM: kenjibaheux)@chromium.org,7,,3,3,FALSE,4,http://www.w3.org/html/wg/drafts/html/master/forms.html#attr-fe-inputmode,4,,2,,3,,2,
10,Iterators and Generators,"An Iterator is an object that knows how to access items from a collection one at a time, while keeping track of its current position within that sequence. A generator is a special type of function that works as a factory for iterators.",,,1,,3,3,TRUE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
15,Lazy layout,Support a system for doing lazy layout based on what elements are visible in the viewport.,,esprehn@chromium.org,4,,2,2,FALSE,6,,5,,5,,5,,2,
10,Map,Map objects are simple key/value maps.,,mstarzinger@chromium.org,4,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
5,matchMedia,API for testing if a given media query will apply.,http://wkbug.com/37205,luiz@webkit,7,9,3,3,FALSE,2,http://dev.w3.org/csswg/cssom-view/#widl-Window-matchMedia-MediaQueryList-DOMString-query,1,,1,,1,,2,
2,MathML,An application of XML for describing mathematical notations and capturing both its structure and content.,http://crbug.com/174539,,7,,1,2,FALSE,2,http://www.w3.org/TR/MathML3/,1,,1,,5,,1,
15,Media Queries: resolution feature,Allows to query the device pixel count per CSS unit,http://crbug.com/158744,kenneth.r.christiansen@intel.com,5,,3,3,FALSE,2,http://www.w3.org/TR/css3-mediaqueries/#resolution,4,,1,,2,,2,
4,Media Source Extensions,Allows appending data to an <audio>/<video> element.,http://crbug.com/144669,"jluther@chromium.org, acolwell@chromium.org",7,23,3,2,FALSE,4,https://dvcs.w3.org/hg/html-media/raw-file/tip/media-source/media-source.html,6,,6,,3,,2,
3,Meta Referrer,"Using the referrer metadata attribute, a document can control the behavior of the Referer HTTP header attached to requests that originate from the document.",,eisinger@chromium.org,7,21,4,4,FALSE,4,http://wiki.whatwg.org/wiki/Meta_referrer,6,,2,,5,,4,
2,Microdata,Microdata is used to nest semantics within existing content on web pages.,,esprehn@chromium.org,7,,2,2,FALSE,2,http://whatwg.org/html#microdata-dom-api,5,,1,,5,,3,
5,MutationObservers,Provides notifications when DOM nodes are rearranged or modified.,http://wkbug.com/68729,"rafaelw@chromium.org, adamk@chromium.org",7,18,2,3,FALSE,2,http://dom.spec.whatwg.org/#mutation-observers,5,,1,,3,,2,
13,Navigation Timing API,Allows web applications to access timing information related to navigation and elements.,,simonjames@chromium.org,7,13,2,3,FALSE,2,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/NavigationTiming/Overview.html,6,,1,,1,,2,
15,object-fit and object-position,CSS properties that control the position and size of replaced content within the content box,"http://crbug.com/236331
crbug.com/236333",mstensho@opera.com,1,,3,3,FALSE,2,http://dev.w3.org/csswg/css-images-3/#the-object-fit,2,,3,,5,,1,
10,Object.observe,Observe changes to JS objects.,http://crbug.com/162553,"rafaelw@chromium.org, adamk@chromium.org",4,,3,3,FALSE,3,http://wiki.ecmascript.org/doku.php?id=harmony:observe,5,,3,,3,,4,
15,overflow-anchor,Stick the visible view of an element to the bottom/top even as new content expands it's size.,,"mikelawther@chromium.org, esprehn@chromium.org",3,,3,3,FALSE,5,http://lists.w3.org/Archives/Public/www-style/2012Jun/0347.html,6,,6,,6,,3,
5,Page Visibility API,"Provides an API to ask whether the current tab is visibile or not. If you, you might want to throttle back action or set an idle state.",,shishir@chromium.org,7,13,3,3,FALSE,2,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/PageVisibility/Overview.html,2,,1,,1,,2,
4,Parse SVG as HTML,Switch all SVG parsing to use the HTML parser.,http://crbug.com/243882,pdr@chromium.org,3,,3,2,FALSE,6,http://www.w3.org/TR/SVG/implnote.html#ErrorProcessing,5,,5,,5,,4,
13,performance.now(),"Enables reliable, high-resolution timing of client-side performance.",http://crbug.com/158638,simonjames@chromium.org,7,24,3,3,FALSE,2,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/HighResolutionTime/Overview.html,2,,5,,5,,4,
4,Pointer Events,Unified pointer input API subsuming MouseEvent and TouchEvents which addresses several existing problems (especially on touchscreen laptops) and provides future extensibility.,http://crbug.com/196799,rbyers@chromium.org,1,,2,2,FALSE,3,http://www.w3.org/TR/pointerevents/,7,,3,,1,,2,
4,Touch Action,"New CSS properties (based on pointer events) to enable websites to declaratively state how touches should be handled, without necessarily blocking on the main thread.  Provides performance and functionality benefits to sites using touch events, while also enabling great pointer event polyfills.",http://crbug.com/258459,rbyers@chromium.org,3,,2,2,FALSE,5,https://docs.google.com/a/chromium.org/document/d/1CV2AXyrdPdGSRypAQcfGrgQVuWYi50EzTmVsMLWgRPM/edit#heading=h.93armas5zeh0,5,,5,,5,,2,
2,Pointer Lock,"Gives access to raw mouse movement, locks the target of mouse events to a single element, eliminates limits of how far mouse movement can go in a single direction, and removes the cursor from view. Obvious use cases are for first person or real time strategy games.",http://crbug.com/72754,scheib@chromium.org,7,23,2,2,FALSE,3,http://dvcs.w3.org/hg/webevents/raw-file/default/mouse-lock.html,5,,1,,5,,2,
4,Portable Native Client (PNaCl),Run C/C++ code compiled to LLVM bitcode on any web page. The code runs inside the Native Client sandbox and has access to the same capabilities as JavaScript via the Pepper APIs.,http://crbug.com/146958,sehr@chromium.org,3,,1,1,FALSE,5,,5,,7,,5,,3,
15,position: sticky,"position: sticky is a new way to position elements and is conceptually similar to position: fixed. The difference is that a stickily positioned element behaves like position: relative within its parent, until a given offset threshold is met.",,ojan@chromium.org,3,23,3,3,FALSE,5,http://lists.w3.org/Archives/Public/www-style/2012Jun/0627.html,3,,4,,5,,4,
4,postMessage,Safely enables cross-origin communication.,http://crbug.com/158865,abarth@chromium.org,7,1,4,3,FALSE,2,http://whatwg.org/html#dom-window-postmessage,1,,1,,1,,2,
15,Proprietary CSS reflections,-webkit-box-reflect,,?@chromium.org,7,4,3,3,FALSE,5,,5,,5,,5,,4,
15,Proprietary mask properties,-webkit-mask-* (-webkit-mask-clip),,,7,?,3,3,FALSE,5,,5,,5,,5,,4,
10,Proxies,Proxies are objects for which the programmer has to define the semantics in JavaScript. ,,rossberg@chromium.org,4,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,4,,1,,4,,2,
4,Quota Management API,This API can be used to check how much quota an app/origin is using.,,kinuko@chromium.org,7,14,2,3,FALSE,3,http://www.w3.org/TR/quota-api/,5,,3,,5,,2,
15,Regions,Magazine-like content flow into specified regions.,http://wkbug.com/57312,,4,19,2,3,FALSE,3,http://dev.w3.org/csswg/css3-regions/,5,,7,,2,,4,
14,requestAnimationFrame,Offload animation repainting to browser for optimized performance. ,http://crbug.com/158676,jamesr@chromium.org,7,24,2,2,FALSE,2,https://dvcs.w3.org/hg/webperf/raw-file/default/specs/RequestAnimationFrame/Overview.html,1,,1,,1,,2,
2,requestAutoComplete(),Allows a form to be filled out on demand by the browser's autofill.,http://crbug.com/159537,mgaba@chromium.org,3,27,3,2,FALSE,4,http://lists.whatwg.org/htdig.cgi/whatwg-whatwg.org/2012-October/037711.html,5,,5,,5,,4,
13,Resource Timing API,Allows web applications to access timing information related to HTML elements.,http://crbug.com/159544,simonjames@chromium.org,7,25,2,3,FALSE,3,http://www.w3c-test.org/webperf/specs/ResourceTiming/,6,,3,,1,,4,
10,Rest parameters,Allows representation of an indefinite number of arguments as an array.,,,1,,3,3,TRUE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
15,Scoped Styles,"Boolean attribute for the <style> element (<style scoped>). When present, its styles only apply to the parent element.",,,4,20,3,3,FALSE,3,http://whatwg.org/html#attr-style-scoped,5,,1,,5,,4,
4,Sending Messages to Extensions,Expose a Chrome-specific API to allow websites to send messages to extensions. Only exposed to websites whitelisted by an installed extension.,http://crbug.com/55316,kalman@chromium.org,3,,2,4,FALSE,6,,5,,5,,5,,4,
10,Set,"Set objects let you store unique values of any type, whether primitive values or object references. ",,mstarzinger@chromium.org,4,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
1,Shadow DOM,"Enables DOM tree encapsulation. Without it, widgets may inadvertently break pages by using conflicting CSS selectors, class or id names, or JavaScript variables.",http://crbug.com/145868,dominicc@chromium.org,7,25,2,2,FALSE,3,https://dvcs.w3.org/hg/webcomponents/raw-file/tip/spec/shadow/index.html,4,,3,,3,,2,
15,Sizing,"Extends the CSS sizing properties with keywords that represent content-based ""intrinsic"" sizes and context-based ""extrinsic"" sizes, allowing CSS to more easily describe boxes that fit their content or fit into a particular layout context.",,ojan@chromium.org,3,,3,3,FALSE,3,http://dev.w3.org/csswg/css3-sizing/,2,,2,,5,,4,
6,Streams API,An API for representing binary data in web applications as a Stream object.,,zork@chromium.org,3,,2,3,FALSE,3,https://dvcs.w3.org/hg/streams-api/raw-file/tip/Overview.htm,3,,3,,5,,4,
14,SVG2,Implement the new SVG2 features.,http://crbug.com/225863,,3,,3,3,FALSE,3,https://svgwg.org/svg2-draft/single-page.html,2,,2,,5,,2,
10,Symbols aka private names,"Allows properties to be added to existing objects without the possibility of interference with the existing properties, unintended visibility, or with other uncoordinated additions by any other code.",http://crbug.com/1565,rossberg@chromium.org,3,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=strawman:private_names,2,,3,,4,,2,
15,Text,"CSS properties used for manipulating text (decoration, line breaking, processing model, ...)",,,3,,3,3,FALSE,2,http://www.w3.org/TR/css3-text/,2,,5,,5,,4,
15,Text (Proprietary),CSS properties used to change how we draw text.,,,7,,4,4,FALSE,6,,1,,5,,5,,4,
15,TLS 1.2,The latest version of the Transport Layer Security (TLS) protocol,http://crbug.com/90392,"agl@chromium.org,wtc@chromium.org",5,29,3,3,FALSE,2,http://tools.ietf.org/html/rfc5246,1,,2,,1,,1,
15,QUIC,"An experimental, UDP-based QUIC transport protocol",,"rch@chromium.org,jar@chromium.org",5,29,3,3,FALSE,6,https://docs.google.com/a/chromium.org/document/d/1RNHkx_VvKWyWg6Lr8SZ-saqsQx7rFV-ev2jRFUoVD34/edit,5,,5,,5,,4,
15,Touch Events,"Touchscreen input API, originally introduced by Apple on iOS",,rbyers@chromium.org,7,18,2,2,FALSE,3,https://docs.google.com/a/chromium.org/document/d/1WJvyZflAO2pq77yOLbp9NsGjC1CHetAXV8I0fQe-B_U/edit,5,,1,,7,,2,
4,Track element,"Add subtitles, captions, screen reader descriptions, chapters and other types of timed metadata to video and audio. Chrome currently supports the WebVTT format for track data.",,"scherkus@chromium.org, vcarbune@chromium.org",7,23,2,3,FALSE,2,http://whatwg.org/html#the-track-element,5,,2,,7,,2,
15,Transforms,Enables changing the position of content in 3D space without disrupting the normal flow.,,,7,12,1,1,FALSE,2,http://dev.w3.org/csswg/css3-transforms/,1,,1,,2,,1,
13,Typed Arrays,"Buffers for holding binary data and working with WebGL & Audio API: ArrayBuffer, Float32Array , Int16Array, Uint8Array, etc.)",,"kbr@chromium.org,dslomov@chromium.org",7,13,2,2,FALSE,2,http://www.khronos.org/registry/typedarray/specs/latest/,5,,1,,2,,4,
4,UIEvents (DOM4) Keyboard Events,Identify the physical key being pressed; Query key from layout.,,garykac@chromium.org,1,,3,3,FALSE,4,https://dvcs.w3.org/hg/d4e/raw-file/tip/source_respec.htm,5,,3,,3,,2,
8,Vibration API,This specification defines an API that provides access to the vibration mechanism of the hosting device. Vibration is a form of tactile feedback.,http://crbug.com/222504,"mvanouwerkerk@chromium.org,miguelg@chromium.org",4,,2,2,FALSE,3,http://dev.w3.org/2009/dap/vibration/,6,,1,,5,,2,
10,WeakMap,WeakMaps are key/value maps in which keys are objects.,http://crbug.com/97642,mstarzinger@chromium.org,4,,3,3,FALSE,4,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,3,,1,,3,,1,
14,Web Animations,A unified model for supporting animation and synchronization on the Web platform.,,"shanestephens@chromium.org, dstockwell@chromium.org, steveblock@chromium.org",3,,1,2,TRUE,3,http://www.w3.org/TR/web-animations/,3,,3,,5,,4,
4,Web Audio API,A high-level JavaScript API for processing and synthesizing audio in web applications,,"jtlinden@chromium.org, crogers@chromium.org",7,14,1,2,FALSE,3,https://dvcs.w3.org/hg/audio/raw-file/tip/webaudio/specification.html,3,,2,,5,,2,
3,Web Crypto API,JavaScript bindings for cryptographic operations,http://crbug.com/245025,sleevi@chromium.org,3,,2,3,FALSE,3,https://dvcs.w3.org/hg/webcrypto-api/raw-file/tip/spec/Overview.html,5,,2,,4,,3,
